"SUBFAMILIA";"TPROD"
"ACEITES Y VINAGRES";"0.13678425048154"
"ARROCES";"0.17154649812976"
"AZUCARES Y EDULCORANTES";"0.17357875576662"
"COMPLEMENTOS";"0.21877848678213"
"COPOS";"0.1236624659965"
"FRUTAS";"0.12249615120675"
"FRUTOS SECOS";"0.13385387618516"
"HINCHADOS Y CRUJIENTES";"0.096384953739372"
"LEGUMBRES";"0.11368216768247"
"MDD";"0.090909090909094"
"MUESLIS Y GRANOLAS";"0.11162355426412"
"PASTA";"0.10297482837529"
"PASTA CON VERDURAS";"0.11089035715936"
"PASTA ESPELTA";"0.12427754549926"
"PELADOS, EN GRANO";"0.1073873578997"
"PLATOS PREPARADOS";"0.13129102844639"
"SALVADOS";"0.12216853746808"
"SEMILLAS";"0.10379124309145"
"SEMOLAS";"0.13291557503006"
"SOPAS";"0.082508250825082"
